ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,fg_fng_value,fg_fng_value_lower,fg_fng_value_upper,fg_fng_value_ma30,fg_fng_value_ma30_lower,fg_fng_value_ma30_upper,gt_bitcoin_ma30,gt_bitcoin_ma30_lower,gt_bitcoin_ma30_upper,hr_hash_rate_ma30,hr_hash_rate_ma30_lower,hr_hash_rate_ma30_upper,m2_ma30,m2_ma30_lower,m2_ma30_upper,macd_signal_9,macd_signal_9_lower,macd_signal_9_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rsi_14,rsi_14_lower,rsi_14_upper,sma_200,sma_200_lower,sma_200_upper,sma_50,sma_50_lower,sma_50_upper,spx_close,spx_close_lower,spx_close_upper,vol_30d,vol_30d_lower,vol_30d_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,y
2024-06-28,52457.353097068546,-11681.764408574976,-8144.083996809061,52457.353097068546,52457.353097068546,-1.3115390819456219,-1.3115390819456219,-1.3115390819456219,-0.042772803673422996,-0.042772803673422996,-0.042772803673422996,-0.06719426252865461,-0.06719426252865461,-0.06719426252865461,-0.04073122359645474,-0.04073122359645474,-0.04073122359645474,0.0952176441550577,0.0952176441550577,0.0952176441550577,-0.6397776249617352,-0.6397776249617352,-0.6397776249617352,-0.00908116553302637,-0.00908116553302637,-0.00908116553302637,-1.1879264086427217,-1.1879264086427217,-1.1879264086427217,-0.3013376753203138,-0.3013376753203138,-0.3013376753203138,0.3375834589257522,0.3375834589257522,0.3375834589257522,-0.45053472086850105,-0.45053472086850105,-0.45053472086850105,-0.21399917479627403,-0.21399917479627403,-0.21399917479627403,0.02108846625195091,0.02108846625195091,0.02108846625195091,0.00014630004672247724,0.00014630004672247724,0.00014630004672247724,0.12346637325617772,0.12346637325617772,0.12346637325617772,0.0,0.0,0.0,-9858.121974435246,60320.13671875
2024-06-29,52532.51152419032,-11740.80869013724,-8117.41267062214,52532.51152419032,52532.51152419032,-1.311853233146788,-1.311853233146788,-1.311853233146788,-0.042772803673422996,-0.042772803673422996,-0.042772803673422996,-0.06719426252865461,-0.06719426252865461,-0.06719426252865461,-0.04073122359645474,-0.04073122359645474,-0.04073122359645474,0.0952176441550577,0.0952176441550577,0.0952176441550577,-0.6397776249617352,-0.6397776249617352,-0.6397776249617352,-0.00908116553302637,-0.00908116553302637,-0.00908116553302637,-1.1887275879544263,-1.1887275879544263,-1.1887275879544263,-0.3013376753203138,-0.3013376753203138,-0.3013376753203138,0.3375834589257522,0.3375834589257522,0.3375834589257522,-0.45053472086850105,-0.45053472086850105,-0.45053472086850105,-0.21399917479627403,-0.21399917479627403,-0.21399917479627403,0.02077431505078475,0.02077431505078475,0.02077431505078475,-0.0005777892630614807,-0.0005777892630614807,-0.0005777892630614807,0.1237034344554233,0.1237034344554233,0.1237034344554233,0.0,0.0,0.0,-9914.334189148543,60887.37890625
2024-06-30,52607.66995131209,-11678.550458210531,-8131.52178327554,52607.66995131209,52607.66995131209,-1.3121801509315394,-1.3121801509315394,-1.3121801509315394,-0.042772803673422996,-0.042772803673422996,-0.042772803673422996,-0.06719426252865461,-0.06719426252865461,-0.06719426252865461,-0.04073122359645474,-0.04073122359645474,-0.04073122359645474,0.0952176441550577,0.0952176441550577,0.0952176441550577,-0.6397776249617352,-0.6397776249617352,-0.6397776249617352,-0.00908116553302637,-0.00908116553302637,-0.00908116553302637,-1.1888227902618158,-1.1888227902618158,-1.1888227902618158,-0.3013376753203138,-0.3013376753203138,-0.3013376753203138,0.3375834589257522,0.3375834589257522,0.3375834589257522,-0.45053472086850105,-0.45053472086850105,-0.45053472086850105,-0.21399917479627403,-0.21399917479627403,-0.21399917479627403,0.020447397266033285,0.020447397266033285,0.020447397266033285,-0.0005086089427009916,-0.0005086089427009916,-0.0005086089427009916,0.12386596961242467,0.12386596961242467,0.12386596961242467,0.0,0.0,0.0,-9933.527029379433,62678.29296875
2024-07-01,52682.82837843386,-11576.058755718834,-8114.828443377808,52660.68742113114,52682.85480672906,-1.3125179763371932,-1.3125179763371932,-1.3125179763371932,-0.042772803673422996,-0.042772803673422996,-0.042772803673422996,-0.06719426252865461,-0.06719426252865461,-0.06719426252865461,-0.04073122359645474,-0.04073122359645474,-0.04073122359645474,0.0952176441550577,0.0952176441550577,0.0952176441550577,-0.6397776249617352,-0.6397776249617352,-0.6397776249617352,-0.00908116553302637,-0.00908116553302637,-0.00908116553302637,-1.1873318461229496,-1.1873318461229496,-1.1873318461229496,-0.3013376753203138,-0.3013376753203138,-0.3013376753203138,0.3375834589257522,0.3375834589257522,0.3375834589257522,-0.45053472086850105,-0.45053472086850105,-0.45053472086850105,-0.21399917479627403,-0.21399917479627403,-0.21399917479627403,0.02010957186037939,0.02010957186037939,0.02010957186037939,0.0012299371146367438,0.0012299371146367438,0.0012299371146367438,0.12395619309960688,0.12395619309960688,0.12395619309960688,0.0,0.0,0.0,-9869.171499110535,62851.98046875
2024-07-02,52757.986805555614,-11763.785237382719,-8254.69436665289,52713.13069375456,52779.869380440585,-1.3128649609191878,-1.3128649609191878,-1.3128649609191878,-0.042772803673422996,-0.042772803673422996,-0.042772803673422996,-0.06719426252865461,-0.06719426252865461,-0.06719426252865461,-0.04073122359645474,-0.04073122359645474,-0.04073122359645474,0.0952176441550577,0.0952176441550577,0.0952176441550577,-0.6397776249617352,-0.6397776249617352,-0.6397776249617352,-0.00908116553302637,-0.00908116553302637,-0.00908116553302637,-1.190269030071543,-1.190269030071543,-1.190269030071543,-0.3013376753203138,-0.3013376753203138,-0.3013376753203138,0.3375834589257522,0.3375834589257522,0.3375834589257522,-0.45053472086850105,-0.45053472086850105,-0.45053472086850105,-0.21399917479627403,-0.21399917479627403,-0.21399917479627403,0.019762587278384963,0.019762587278384963,0.019762587278384963,-0.001380109077243861,-0.001380109077243861,-0.001380109077243861,0.12397603992488859,0.12397603992488859,0.12397603992488859,0.0,0.0,0.0,-10038.210978020334,62029.015625
2024-07-03,52833.14523267739,-11707.822452757611,-8119.041553066935,52735.27241346637,52910.82750769941,-1.3132194631916978,-1.3132194631916978,-1.3132194631916978,-0.042772803673422996,-0.042772803673422996,-0.042772803673422996,-0.06719426252865461,-0.06719426252865461,-0.06719426252865461,-0.04073122359645474,-0.04073122359645474,-0.04073122359645474,0.0952176441550577,0.0952176441550577,0.0952176441550577,-0.6397776249617352,-0.6397776249617352,-0.6397776249617352,-0.00908116553302637,-0.00908116553302637,-0.00908116553302637,-1.1888190145967563,-1.1888190145967563,-1.1888190145967563,-0.3013376753203138,-0.3013376753203138,-0.3013376753203138,0.3375834589257522,0.3375834589257522,0.3375834589257522,-0.45053472086850105,-0.45053472086850105,-0.45053472086850105,-0.21399917479627403,-0.21399917479627403,-0.21399917479627403,0.01940808500587492,0.01940808500587492,0.01940808500587492,0.0004734239616445233,0.0004734239616445233,0.0004734239616445233,0.12392702463329695,0.12392702463329695,0.12392702463329695,0.0,0.0,0.0,-9975.902420881457,60173.921875
2024-07-04,52908.30365979916,-11685.439012867651,-8370.705917316422,52750.57015601113,53041.60174516423,-1.313579945044242,-1.313579945044242,-1.313579945044242,-0.042772803673422996,-0.042772803673422996,-0.042772803673422996,-0.06719426252865461,-0.06719426252865461,-0.06719426252865461,-0.04073122359645474,-0.04073122359645474,-0.04073122359645474,0.0952176441550577,0.0952176441550577,0.0952176441550577,-0.6397776249617352,-0.6397776249617352,-0.6397776249617352,-0.00908116553302637,-0.00908116553302637,-0.00908116553302637,-1.1891529734472541,-1.1891529734472541,-1.1891529734472541,-0.3013376753203138,-0.3013376753203138,-0.3013376753203138,0.3375834589257522,0.3375834589257522,0.3375834589257522,-0.45053472086850105,-0.45053472086850105,-0.45053472086850105,-0.21399917479627403,-0.21399917479627403,-0.21399917479627403,0.01904760315333076,0.01904760315333076,0.01904760315333076,0.0006168461600013638,0.0006168461600013638,0.0006168461600013638,0.12381012543698655,0.12381012543698655,0.12381012543698655,0.0,0.0,0.0,-10007.76295730125,56977.703125
2024-07-05,52983.46208692093,-11826.231765221037,-8346.039835652144,52774.30675256116,53144.45419408845,-1.3139449681459012,-1.3139449681459012,-1.3139449681459012,-0.042772803673422996,-0.042772803673422996,-0.042772803673422996,-0.06719426252865461,-0.06719426252865461,-0.06719426252865461,-0.04073122359645474,-0.04073122359645474,-0.04073122359645474,0.0952176441550577,0.0952176441550577,0.0952176441550577,-0.6397776249617352,-0.6397776249617352,-0.6397776249617352,-0.00908116553302637,-0.00908116553302637,-0.00908116553302637,-1.1901729700377226,-1.1901729700377226,-1.1901729700377226,-0.3013376753203138,-0.3013376753203138,-0.3013376753203138,0.3375834589257522,0.3375834589257522,0.3375834589257522,-0.45053472086850105,-0.45053472086850105,-0.45053472086850105,-0.21399917479627403,-0.21399917479627403,-0.21399917479627403,0.01868258005167144,0.01868258005167144,0.01868258005167144,0.00014630004671996262,0.00014630004671996262,0.00014630004671996262,0.12362569806145883,0.12362569806145883,0.12362569806145883,0.0,0.0,0.0,-10076.022347950826,56662.375
2024-07-06,53058.620514042705,-11924.736626786624,-8530.435798378001,52723.96242736191,53256.297338485805,-1.3143131903479297,-1.3143131903479297,-1.3143131903479297,-0.042772803673422996,-0.042772803673422996,-0.042772803673422996,-0.06719426252865461,-0.06719426252865461,-0.06719426252865461,-0.04073122359645474,-0.04073122359645474,-0.04073122359645474,0.0952176441550577,0.0952176441550577,0.0952176441550577,-0.6397776249617352,-0.6397776249617352,-0.6397776249617352,-0.00908116553302637,-0.00908116553302637,-0.00908116553302637,-1.1915175567749685,-1.1915175567749685,-1.1915175567749685,-0.3013376753203138,-0.3013376753203138,-0.3013376753203138,0.3375834589257522,0.3375834589257522,0.3375834589257522,-0.45053472086850105,-0.45053472086850105,-0.45053472086850105,-0.21399917479627403,-0.21399917479627403,-0.21399917479627403,0.018314357849642887,0.018314357849642887,0.018314357849642887,-0.0005777892630655381,-0.0005777892630655381,-0.0005777892630655381,0.12337342283602679,0.12337342283602679,0.12337342283602679,0.0,0.0,0.0,-10161.657366699683,58303.5390625
2024-07-07,53133.77894116447,-11891.256485373375,-8441.564866961016,52721.30667373904,53413.785513016155,-1.3146833620947254,-1.3146833620947254,-1.3146833620947254,-0.042772803673422996,-0.042772803673422996,-0.042772803673422996,-0.06719426252865461,-0.06719426252865461,-0.06719426252865461,-0.04073122359645474,-0.04073122359645474,-0.04073122359645474,0.0952176441550577,0.0952176441550577,0.0952176441550577,-0.6397776249617352,-0.6397776249617352,-0.6397776249617352,-0.00908116553302637,-0.00908116553302637,-0.00908116553302637,-1.1921396835778333,-1.1921396835778333,-1.1921396835778333,-0.3013376753203138,-0.3013376753203138,-0.3013376753203138,0.3375834589257522,0.3375834589257522,0.3375834589257522,-0.45053472086850105,-0.45053472086850105,-0.45053472086850105,-0.21399917479627403,-0.21399917479627403,-0.21399917479627403,0.01794418610284721,0.01794418610284721,0.01794418610284721,-0.000508608942697109,-0.000508608942697109,-0.000508608942697109,0.12305228745958917,0.12305228745958917,0.12305228745958917,0.0,0.0,0.0,-10209.107473049882,55849.109375
